provider_name,program_name,provider_type,cost_type,ages,address,city,state,zip,phone,email,website,source_url,notes,status
The School of Swimming,,Swimming instructor,Unknown,,901 France St,Rocky Hill,CT,6067,#ERROR!,,,,"5 stars, 24 reviews",Approved
Youth Development & Aquatic Center - Regional YMCA of Western Connecticut,,Swimming pool,Unknown,,10 Huckleberry Hill Rd,Brookfield,CT,6804,#ERROR!,,,,"4.4 stars, 46 reviews",Approved
Goldfish Swim School - Norwalk,,Swimming school,Unknown,,112 Main St,Norwalk,CT,6851,#ERROR!,,,,"4.8 stars, 166 reviews",Approved
Bulldog Swim Academy,,Swimming school,Unknown,,303 Huntington St,New Haven,CT,6511,#ERROR!,,,,"4.5 stars, 24 reviews",Approved
Swim Lessons with Amanda,,Swimming instructor,Unknown,,51 Hawthorn Way,Wethersfield,CT,6109,#ERROR!,,,,"4.8 stars, 39 reviews",Approved
CT Swim Lessons,,Swimming instructor,Unknown,,85 Jones St,Amston,CT,6231,,,,,"5 stars, 3 reviews",Approved
LIVE2SWIM,,Swimming school,Unknown,,94 Old State Rd,Brookfield,CT,6804,#ERROR!,,,,"4.7 stars, 44 reviews",Approved
urSwim at LA Fitness Trumbull,,Swimming instructor,Unknown,,5065 Main St,Trumbull,CT,6611,#ERROR!,,,,"5 stars, 39 reviews",Approved
Briar Cliff Swim Club,,Swim club,Unknown,,1960107,Avon,CT,6001,,,,,"4.8 stars, 6 reviews",Approved
Blue Marlins of Greater New Haven,,Swim club,Unknown,,360 Amity Rd,Woodbridge,CT,6525,#ERROR!,,,,,Approved
Goldfish Swim School - Cromwell,,Swimming school,Unknown,,51 Shunpike Rd,Cromwell,CT,6416,#ERROR!,,,,"4.8 stars, 77 reviews",Approved
Goldfish Swim School - Manchester,,Swimming school,Unknown,,1147 Tolland Turnpike,Manchester,CT,6042,#ERROR!,,,,"4.5 stars, 158 reviews",Approved
Fairfield Area Swim School,,Swimming school,Unknown,,1073 N Benson Rd,Fairfield,CT,6824,,,,,"5 stars, 3 reviews",Approved
SafeSplash + SwimLabs Swim School - Newington,,Swimming school,Unknown,,77 Pane Rd,Newington,CT,6111,#ERROR!,,,,"4.9 stars, 75 reviews",Approved
Hudson Valley Swim Danbury,,Swimming school,Unknown,,12 Boughton St,Danbury,CT,6810,#ERROR!,,,,"4.8 stars, 17 reviews",Approved
British Swim School at LA Fitness - Farmington,,Swimming school,Unknown,,1600 SE Rd,Farmington,CT,6032,#ERROR!,,,,"5 stars, 16 reviews",Approved
McCann Natatorium,,attractions,Unknown,,70 Park Cir,Milford,CT,6460,#ERROR!,,,,"4.4 stars, 46 reviews",Approved
Wings Over Water School,,Swimming school,Unknown,,2221 Black Rock Tpke,Fairfield,CT,6825,#ERROR!,,,,"4.2 stars, 76 reviews",Approved
Swim Center at Westminster School,,Swimming facility,Unknown,,"1880, 995 Hopmeadow St",Simsbury,CT,6070,#ERROR!,,,,"4.6 stars, 25 reviews",Approved
Goldfish Swim School - Pike Creek,,Swimming school,Unknown,,4760 Limestone Rd,Wilmington,DE,19808,#ERROR!,,,,"5 stars, 128 reviews",Approved
Trident Swim Club,,Swim club,Unknown,,2000 S Otterbein Ave,Rowland Heights,CA,91748,,,,,"5 stars, 1 reviews",Approved
Premier Swim Academy- Diamond Bar,,Swimming instructor,Unknown,,1673 Maple Hill Rd,Diamond Bar,CA,91765,#ERROR!,,,,"4.6 stars, 72 reviews",Approved
The Delaware Swim School,,Swimming school,Unknown,,202 Lantana Dr,Hockessin,DE,19707,#ERROR!,,,,"3.5 stars, 31 reviews",Approved
Waterworks Swim School Diamond Bar,,Swimming school,Unknown,,20801 Golden Springs Dr,Diamond Bar,CA,91789,#ERROR!,,,,"5 stars, 3 reviews",Approved
British Swim School at LA Fitness - Bear,,Swimming school,Unknown,,900 Eden Cir,Bear,DE,19701,#ERROR!,,,,"5 stars, 18 reviews",Approved
Blake Swim School,,Swimming school,Unknown,,15835 Gale Ave,Hacienda Heights,CA,91745,#ERROR!,,,,"4.3 stars, 188 reviews",Approved
Swimtelligent Swim Club,,Swimming school,Unknown,,408 N Azusa Ave,West Covina,CA,91791,#ERROR!,,,,"4.8 stars, 131 reviews",Approved
Swim School Inc,,Swimming school,Unknown,,669 S Union St,Wilmington,DE,19805,#ERROR!,,,,"4.4 stars, 7 reviews",Approved
Hockessin Athletic Club,,Fitness center,Unknown,,100 Fitness Way,Hockessin,DE,19707,#ERROR!,,,,"4.2 stars, 125 reviews",Approved
Central YMCA,,Gym,Unknown,,501 W 11th St,Wilmington,DE,19801,#ERROR!,,,,"4.5 stars, 321 reviews",Approved
AquaRx,,Swimming school,Unknown,,21400 Pathfinder Rd,Diamond Bar,CA,91765,#ERROR!,,,,"5 stars, 5 reviews",Approved
Goldfish Swim School - North Wilmington,,Swimming school,Unknown,,5333 Concord Pike,Wilmington,DE,19803,#ERROR!,,,,"5 stars, 1 reviews",Approved
Bear-Glasgow Family YMCA,,Gym,Unknown,,351 George Williams Way,Newark,DE,19702,#ERROR!,,,,"4.4 stars, 328 reviews",Approved
Sussex academy Aquatics Center,,Swimming facility,Unknown,,21150 Airport Road,Georgetown,DE,19947,#ERROR!,,,,"4.7 stars, 72 reviews",Approved
Waterworks Swim School La Habra,,Swimming school,Unknown,,1621 W Imperial Hwy,La Habra,CA,90631,#ERROR!,,,,"4 stars, 4 reviews",Approved
Western Family YMCA,,Gym,Unknown,,2600 Capitol Tr,Newark,DE,19711,#ERROR!,,,,"4.5 stars, 299 reviews",Approved
Brandywine YMCA,,Gym,Unknown,,3 Mt Lebanon Rd,Wilmington,DE,19803,#ERROR!,,,,"4.3 stars, 239 reviews",Approved
Flora Pool,,Swimming pool,Unknown,,2525 Green St,Dubuque,IA,52001,#ERROR!,,,,"4.4 stars, 182 reviews",Approved
SouthWest Aquatics,,Swimming school,Unknown,,205 Windermere Rd,Winter Garden,FL,34787,#ERROR!,,,,"4.7 stars, 216 reviews",Approved
Watermelon Swim Wesley Chapel,,Swimming school,Unknown,,30016 County Line Rd,Wesley Chapel,FL,33543,#ERROR!,,,,"4.8 stars, 543 reviews",Approved
SwimSRQ,,Swimming instructor,Unknown,,3600 Torrey Pines Blvd,Sarasota,FL,34238,#ERROR!,,,,"5 stars, 168 reviews",Approved
Little Aquatics Swim Lessons,,Swimming instructor,Unknown,,,,,,#ERROR!,,,,"4.8 stars, 721 reviews",Approved
Florida Swim Center,,Swimming school,Unknown,,18090 Collins Ave T#14,Sunny Isles Beach,FL,33160,#ERROR!,,,,"4.9 stars, 107 reviews",Approved
Swim Dynamic Lakeland,,attractions,Unknown,,5825 Brannen Rd S,Lakeland,FL,33813,#ERROR!,,,,"4.9 stars, 56 reviews",Approved
Florida Aquatics Swimming and Training (FAST),,Swimming facility,Unknown,,4635 SW 67th Ave,Ocala,FL,34474,#ERROR!,,,,"4.7 stars, 270 reviews",Approved
Aqua Chick Swimming-Swimming Lessons,,Swimming instructor,Unknown,,1510 Fox Hill Pl,Valrico,FL,33596,#ERROR!,,,,"5 stars, 29 reviews",Approved
SwimSRQ: Swim Lessons at LA Fitness Lakewood Ranch,,Swimming school,Unknown,,11661 State Road 70 E,Lakewood Ranch,FL,34202,#ERROR!,,,,"4.9 stars, 58 reviews",Approved
Florida Swim School,,Swimming school,Unknown,,1082 S Rogers Cir,Boca Raton,FL,33487,#ERROR!,,,,"4.3 stars, 93 reviews",Approved
Maureen's Swim Academy,,Swimming instructor,Unknown,,8143 Honeybee Ln,Tampa,FL,33635,#ERROR!,,,,"4.9 stars, 263 reviews",Approved
Swim Safely Swim School,,Swimming school,Unknown,,US-27 #50,Clermont,FL,34711,#ERROR!,,,,"4.7 stars, 11 reviews",Approved
Florida Elite Swimming,,Swim club,Unknown,,3032 Collier Pkwy,Land O' Lakes,FL,34639,,,,,"4 stars, 9 reviews",Approved
ISR Florida Aquatics,,Swimming instructor,Unknown,,2928 Red Coat Cir,Brandon,FL,33511,#ERROR!,,,,"5 stars, 2 reviews",Approved
"Watch Me Swim, LLC. Survival Swimming Lessons & Beyond!",,Swimming instructor,Unknown,,11501 McMullen Rd,Riverview,FL,33569,#ERROR!,,,,"4.9 stars, 116 reviews",Approved
SwimSRQ: swim lessons in sarasota,,Swimming instructor,Unknown,,5880 Rand Blvd #102,Sarasota,FL,34238,#ERROR!,,,,"5 stars, 19 reviews",Approved
"Aqua Buddies Swim School, LLC",,Swimming instructor,Unknown,,420 Tazewell Dr,Port Charlotte,FL,33954,#ERROR!,,,,"4.9 stars, 212 reviews",Approved
Swim Florida at Lehigh Acres Community Pool,,Swim club,Unknown,,1400 W 5th St,Lehigh Acres,FL,33972,#ERROR!,,,,"5 stars, 1 reviews",Approved
The Swim Center,,Swimming instructor,Unknown,,1090 Regency Plaza Blvd #100,McDonough,GA,30253,#ERROR!,,,,"4.8 stars, 133 reviews",Approved
Atlanta Swim Academy,,Swimming school,Unknown,,732 Johnson Ferry Rd,Marietta,GA,30068,#ERROR!,,,,"4.9 stars, 1037 reviews",Approved
Aqua-Tots Swim School Briarcliff,,Swimming school,Unknown,,2153-A Briarcliff Rd NE,Atlanta,GA,30329,#ERROR!,,,,"4.6 stars, 280 reviews",Approved
